
community,total_cases,recovered_cases,mental_health_impact,risk_level
Community A,1250,1180,68,High
Community B,980,940,52,Medium
Community C,640,610,35,Low
Community D,1800,1650,78,High
Community E,760,730,42,Medium
Community F,520,500,28,Low
Community G,1420,1305,71,High
Community H,890,850,47,Medium
Community I,430,415,22,Low
Community J,1650,1500,74,High
Community K,1100,1040,58,Medium
Community L,370,360,18,Low
Community M,950,900,49,Medium
Community N,1550,1450,73,High
Community O,600,570,33,Low
Community P,820,790,45,Medium
Community Q,1720,1600,80,High
Community R,470,450,25,Low
Community S,1010,970,56,Medium
Community T,1350,1260,69,High
